participant,condition,gender,age,region,distanceLondon,stimulus,response,reactionTime
f13,femaleFace,female,21,midlands,136.703,10,boo,2.08687103
f13,femaleFace,female,21,midlands,136.703,10,boo,2.017885308
f13,femaleFace,female,21,midlands,136.703,11,boo,2.170121986
f13,femaleFace,female,21,midlands,136.703,11,boo,2.190238584
f13,femaleFace,female,21,midlands,136.703,11,boo,2.027458443
f14,femaleFace,female,20,northern,185.435,1,bee,2.385251582
f14,femaleFace,female,20,northern,185.435,1,bee,2.716165108
f14,femaleFace,female,20,northern,185.435,1,bee,2.893703745
f14,femaleFace,female,20,northern,185.435,2,bee,2.803766847
f14,femaleFace,female,20,northern,185.435,2,bee,2.607841274
f14,femaleFace,female,20,northern,185.435,2,boo,2.918248906
f14,femaleFace,female,20,northern,185.435,3,bee,3.08510203
f14,femaleFace,female,20,northern,185.435,3,bee,2.500295164
f14,femaleFace,female,20,northern,185.435,3,boo,2.764803495
f14,femaleFace,female,20,northern,185.435,4,boo,2.63663561
f14,femaleFace,female,20,northern,185.435,4,boo,2.923482403
f14,femaleFace,female,20,northern,185.435,4,boo,2.536051936
f14,femaleFace,female,20,northern,185.435,5,bee,2.887696496
f14,femaleFace,female,20,northern,185.435,5,bee,2.718451266
f14,femaleFace,female,20,northern,185.435,5,bee,2.532323561
f14,femaleFace,female,20,northern,185.435,6,bee,2.853081976
f14,femaleFace,female,20,northern,185.435,6,boo,2.669691039
f14,femaleFace,female,20,northern,185.435,6,boo,2.451287615
f14,femaleFace,female,20,northern,185.435,7,boo,2.71959749
f14,femaleFace,female,20,northern,185.435,7,boo,2.582691879
f14,femaleFace,female,20,northern,185.435,7,boo,2.469154413
f14,femaleFace,female,20,northern,185.435,8,bee,2.784861759
